objectname,objectid,rating,numplays,weight,own,fortrade,want,wanttobuy,wanttoplay,prevowned,preordered,wishlist,wishlistpriority,wishlistcomment,comment,conditiontext,haspartslist,wantpartslist,collid,baverage,average,avgweight,rank,numowned,objecttype,originalname,minplayers,maxplayers,playingtime,maxplaytime,minplaytime,yearpublished,bggrecplayers,bggbestplayers,bggrecagerange,bgglanguagedependence,publisherid,imageid,year,language,other,itemtype,barcode,pricepaid,pp_currency,currvalue,cv_currency,acquisitiondate,acquiredfrom,quantity,privatecomment,invlocation,invdate,version_publishers,version_languages,version_yearpublished,version_nickname
"Firefly: The Game – Big Damn Heroes Promo Cards","149433","0","","0","1","0","0","0","0","0","0","0","3","","","","","","42468544","6.03922","7.40414","2.9167","0","2294","thing","Firefly: The Game – Big Damn Heroes Promo Cards","1","4","120","120","120","2013","","","14+","Extensive use of text - massive conversion needed to be playable","","","","","","expansion","","","","","","","","","","","","","","",""
"Firefly: The Game – Blue Sun","159651","0","","0","1","0","0","0","0","0","0","0","3","","","","","","42331190","6.76506","8.12176","2.8537","0","5230","thing","Firefly: The Game – Blue Sun","1","4","120","120","120","2014","1,2,3,4","3,4","12+","Moderate in-game text - needs crib sheet or paste ups","","","","","","expansion","","","","","","","","","","","","","","",""
"Firefly: The Game – Breakin' Atmo","147736","0","","0","1","0","0","0","0","0","0","0","3","","","","","","42331200","6.67324","7.75665","2.625","0","5967","thing","Firefly: The Game – Breakin' Atmo","1","4","120","120","120","2013","1,2,3,4","3,4","12+","Extensive use of text - massive conversion needed to be playable","","","","","","expansion","","","","","","","","","","","","","","",""
"Firefly: The Game – Kalidasa","179014","0","","0","1","0","0","0","0","0","0","0","1","","","","","","48949687","6.43618","8.18548","2.9091","0","3327","thing","Firefly: The Game – Kalidasa","1","4","120","0","120","2015","2,3,4","4","12+","Unplayable in another language","","","","","","expansion","","","","","","","","","","","","","","",""
"Firefly: The Game – Pirates & Bounty Hunters","151953","0","","0","1","0","0","0","0","0","0","0","3","","","","","","42331193","6.66634","7.78927","2.7857","0","5710","thing","Firefly: The Game – Pirates & Bounty Hunters","2","6","120","120","120","2014","2,3,4,5","5","12+","Some necessary text - easily memorized or small crib sheet","","","","","","expansion","","","","","","","","","","","","","","",""
"Five Tribes","157354","0","","0","1","0","0","0","0","0","0","0","3","","","","","","42468550","7.64616","7.7861","2.888","55","31721","thing","Five Tribes","2","4","80","80","40","2014","2,3,4","2","12+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Flash Point: Fire Rescue","100901","0","","0","1","0","0","0","0","0","0","0","2","","","","","","42332032","7.09948","7.24073","2.2058","270","27116","thing","Flash Point: Fire Rescue","2","6","45","45","45","2011","1,2,3,4,5,6","4","8+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Fluxx","258","0","","0","1","0","0","0","0","0","0","0","3","","","","","","42468410","5.57961","5.68629","1.3893","7111","23159","thing","Fluxx","2","6","30","30","5","1997","2,3,4,5,6","4","8+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Forbidden Desert","136063","0","","0","1","0","0","0","0","0","0","0","3","","","","","","42468556","7.08055","7.21387","2.0414","287","34429","thing","Forbidden Desert","2","5","45","45","45","2013","1,2,3,4,5","4","8+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Forbidden Island","65244","0","","0","1","0","0","0","0","0","0","0","3","","","","","","42468553","6.73616","6.82396","1.7385","623","57344","thing","Forbidden Island","2","4","30","30","30","2010","1,2,3,4","4","8+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Fortune and Glory: The Cliffhanger Game","95103","0","","0","0","0","0","0","0","0","0","1","3","","","","","","42332078","6.6029","7.10047","2.867","777","5404","thing","Fortune and Glory: The Cliffhanger Game","1","8","240","240","90","2011","1,2,3,4,5,6","3","10+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Gloomhaven","174430","0","","0","1","0","0","0","0","0","0","0","3","","","","","","42328776","8.6206","8.92084","3.7727","1","35793","thing","Gloomhaven","1","4","120","120","60","2017","1,2,3,4","3","14+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Gloomhaven: Forgotten Circles","250337","0","","0","0","0","0","0","0","0","1","0","3","","","","","","56631793","0","8.35781","3.5","0","194","thing","Gloomhaven: Forgotten Circles","1","4","120","120","60","2018","1,2,3,4","3,4","","Extensive use of text - massive conversion needed to be playable","","","","","","expansion","","","","","","","","","","","","","","",""
"Gloomhaven: Solo Scenarios","226868","0","","0","1","0","0","0","0","0","0","0","1","","","","","","48949720","6.02296","8.72352","4","0","3396","thing","Gloomhaven: Solo Scenarios","1","1","0","0","0","2017","1","1","","Extensive use of text - massive conversion needed to be playable","","","","","","expansion","","","","","","","","","","","","","","",""
"Grifters","168054","0","","0","1","0","0","0","0","0","0","0","3","","","","","","56631948","6.13049","6.87954","1.7826","1722","2484","thing","Grifters","2","4","30","30","30","2015","2,3,4","4","10+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Kingdom Death: Monster","55690","0","","0","1","0","0","0","0","0","0","0","3","","","","","","42328765","7.82432","8.83373","4.2368","32","7785","thing","Kingdom Death: Monster","1","4","180","180","60","2017","1,2,3,4","4","18+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","Kingdom Death","English","2017","English second ""1.5"" edition"
"Kingdom Death: Monster – Abyssal Woods Expansion","217710","0","","0","0","0","0","0","0","0","1","0","1","","","","","","49039501","0","8.57143","0","0","119","thing","Kingdom Death: Monster – Abyssal Woods Expansion","1","6","180","180","60","2019","1,2,3,4","2","","","","","","","","expansion","","","","","","","","","","","","","","",""
"Kingdom Death: Monster – Black Knight Expansion","216473","0","","0","0","0","0","0","0","0","1","0","1","","","","","","49039512","0","8","0","0","111","thing","Kingdom Death: Monster – Black Knight Expansion","1","6","180","180","60","2019","","","","","","","","","","expansion","","","","","","","","","","","","","","",""
"Kingdom Death: Monster – Campaigns of Death Expansion","217762","0","","0","0","0","0","0","0","0","1","0","1","","","","","","49039505","0","7.28571","0","0","113","thing","Kingdom Death: Monster – Campaigns of Death Expansion","1","6","180","180","60","2019","","","","","","","","","","expansion","","","","","","","","","","","","","","",""
"Kingdom Death: Monster – Death Armor Expansion","219248","0","","0","0","0","0","0","0","0","1","0","1","","","","","","49039534","0","6.83333","0","0","76","thing","Kingdom Death: Monster – Death Armor Expansion","1","6","180","180","60","2019","","","","","","","","","","expansion","","","","","","","","","","","","","","",""
"Kingdom Death: Monster – Death Drifter Crossover","219139","0","","0","0","0","0","0","0","0","1","0","1","","","","","","49039558","0","7","0","0","45","thing","Kingdom Death: Monster – Death Drifter Crossover","1","6","180","180","60","2018","","","","","","","","","","expansion","","","","","","","","","","","","","","",""
"Kingdom Death: Monster – Dragon King Expansion","135034","0","","0","1","0","0","0","0","0","0","0","1","","","","","","49039433","5.8667","9.37949","4.3333","0","1717","thing","Kingdom Death: Monster – Dragon King Expansion","1","6","180","180","60","2016","1,2,3,4","2","21 and up","Unplayable in another language","","","","","","expansion","","","","","","","","","","","","","","",""
"Kingdom Death: Monster – Dung Beetle Knight Expansion","135179","0","","0","1","0","0","0","0","0","0","0","1","","","","","","49039440","5.80674","9.2208","4","0","1633","thing","Kingdom Death: Monster – Dung Beetle Knight Expansion","1","6","180","180","60","2016","","","","","","","","","","expansion","","","","","","","","","","","","","","",""
"Kingdom Death: Monster – First Hero Expansion","217709","0","","0","0","0","0","0","0","0","1","0","1","","","","","","49039532","0","8.28571","0","0","123","thing","Kingdom Death: Monster – First Hero Expansion","1","6","180","180","60","2019","","","","","","","","","","expansion","","","","","","","","","","","","","","",""
"Kingdom Death: Monster – Flower Knight Expansion","135030","0","","0","1","0","0","0","0","0","0","0","1","","","","","","49039441","5.79443","8.98045","4","0","1576","thing","Kingdom Death: Monster – Flower Knight Expansion","1","6","180","180","60","2016","","","","","","","","","","expansion","","","","","","","","","","","","","","",""
"Kingdom Death: Monster – Frogdog Expansion","216466","0","","0","0","0","0","0","0","0","1","0","1","","","","","","49039525","0","8","0","0","103","thing","Kingdom Death: Monster – Frogdog Expansion","1","6","180","180","60","2019","","","","","","","","","","expansion","","","","","","","","","","","","","","",""
"Kingdom Death: Monster – Gambler's Chest","215370","0","","0","0","0","0","0","0","0","1","0","1","","","","","","49039468","0","8.94067","5","0","262","thing","Kingdom Death: Monster – Gambler's Chest","1","6","180","180","60","2018","","","","","","","","","","expansion","","","","","","","","","","","","","","",""
"Kingdom Death: Monster – Gorm Expansion","135036","0","","0","1","0","0","0","0","0","0","0","1","","","","","","49039435","5.84752","8.98462","4","0","1678","thing","Kingdom Death: Monster – Gorm Expansion","1","6","180","180","60","2016","1,2,3,4","","16+","","","","","","","expansion","","","","","","","","","","","","","","",""
"Kingdom Death: Monster – Gryphon Expansion","216471","0","","0","0","0","0","0","0","0","1","0","1","","","","","","49039526","0","7.75","0","0","99","thing","Kingdom Death: Monster – Gryphon Expansion","1","6","180","180","60","2019","","","","","","","","","","expansion","","","","","","","","","","","","","","",""
"Kingdom Death: Monster – Honeycomb Weaver Expansion","217784","0","","0","0","0","0","0","0","0","1","0","1","","","","","","49039515","0","7","0","0","102","thing","Kingdom Death: Monster – Honeycomb Weaver Expansion","1","6","180","180","60","2019","","","","","","","","","","expansion","","","","","","","","","","","","","","",""
"Kingdom Death: Monster – Inverted Mountain Expansion","219177","0","","0","0","0","0","0","0","0","1","0","1","","","","","","49039514","0","6.42857","0","0","78","thing","Kingdom Death: Monster – Inverted Mountain Expansion","1","6","180","180","60","2019","","","","","","","","","","expansion","","","","","","","","","","","","","","",""
"Kingdom Death: Monster – Ivory Dragon Expansion","217711","0","","0","0","0","0","0","0","0","1","0","1","","","","","","49039506","0","7","0","0","118","thing","Kingdom Death: Monster – Ivory Dragon Expansion","1","6","180","180","60","2019","","","","","","","","","","expansion","","","","","","","","","","","","","","",""
"Kingdom Death: Monster – Lion God Expansion","135712","0","","0","1","0","0","0","0","0","0","0","1","","","","","","49039456","5.726","8.828","4","0","1268","thing","Kingdom Death: Monster – Lion God Expansion","1","6","180","180","60","2016","","","","","","","","","","expansion","","","","","","","","","","","","","","",""
"Kingdom Death: Monster – Lion Knight Expansion","135037","0","","0","1","0","0","0","0","0","0","0","1","","","","","","49039454","5.72223","8.8598","4","0","1331","thing","Kingdom Death: Monster – Lion Knight Expansion","1","6","180","180","60","2016","","","","","","","","","","expansion","","","","","","","","","","","","","","",""
"Kingdom Death: Monster – Lonely Tree Expansion","136135","0","","0","1","0","0","0","0","0","0","0","1","","","","","","49039445","5.65632","8.20575","4","0","1153","thing","Kingdom Death: Monster – Lonely Tree Expansion","1","6","180","180","60","2016","","","","","","","","","","expansion","","","","","","","","","","","","","","",""
"Kingdom Death: Monster – Manhunter Expansion","135035","0","","0","1","0","0","0","0","0","0","0","1","","","","","","49039458","5.72551","8.84318","4","0","1292","thing","Kingdom Death: Monster – Manhunter Expansion","1","6","180","180","60","2016","","","","Extensive use of text - massive conversion needed to be playable","","","","","","expansion","","","","","","","","","","","","","","",""
"Kingdom Death: Monster – Nightmare Ram Expansion","216467","0","","0","0","0","0","0","0","0","1","0","1","","","","","","49039521","0","8.42857","0","0","120","thing","Kingdom Death: Monster – Nightmare Ram Expansion","1","6","180","180","60","2019","","","","","","","","","","expansion","","","","","","","","","","","","","","",""
"Kingdom Death: Monster – Oblivion Mosquito Expansion","216468","0","","0","0","0","0","0","0","0","1","0","1","","","","","","49039503","0","7.75","0","0","101","thing","Kingdom Death: Monster – Oblivion Mosquito Expansion","1","6","180","180","60","2019","","","","","","","","","","expansion","","","","","","","","","","","","","","",""
"Kingdom Death: Monster – Pariah Expansion","216469","0","","0","0","0","0","0","0","0","1","0","1","","","","","","49039530","0","7.75","0","0","99","thing","Kingdom Death: Monster – Pariah Expansion","1","6","180","180","60","2019","","","","","","","","","","expansion","","","","","","","","","","","","","","",""
"Kingdom Death: Monster – Pathfinders of Death Crossover Promo Expansion","219250","0","","0","0","0","0","0","0","0","1","0","1","","","","","","49039543","0","7","0","0","59","thing","Kingdom Death: Monster – Pathfinders of Death Crossover Promo Expansion","1","6","180","180","60","2019","","","","","","","","","","expansion","","","","","","","","","","","","","","",""
"Kingdom Death: Monster – Percival Promo","226215","0","","0","1","0","0","0","0","0","0","0","1","","","","","","49039484","0","9.375","0","0","216","thing","Kingdom Death: Monster – Percival Promo","1","6","180","180","60","2016","","","","","","","","","","expansion","","","","","","","","","","","","","","",""
"Kingdom Death: Monster – Red Witches Expansion","216476","0","","0","0","0","0","0","0","0","1","0","1","","","","","","49039524","0","8.16667","0","0","103","thing","Kingdom Death: Monster – Red Witches Expansion","1","6","180","180","60","2019","","","","","","","","","","expansion","","","","","","","","","","","","","","",""
"Kingdom Death: Monster – Screaming God Expansion","219247","0","","0","0","0","0","0","0","0","1","0","1","","","","","","49039509","0","7.8","0","0","99","thing","Kingdom Death: Monster – Screaming God Expansion","1","6","180","180","60","2019","","","","","","","","","","expansion","","","","","","","","","","","","","","",""
"Kingdom Death: Monster – Slenderman Expansion","136137","0","","0","1","0","0","0","0","0","0","0","1","","","","","","49039443","5.76905","9.0177","4","0","1296","thing","Kingdom Death: Monster – Slenderman Expansion","1","6","180","180","60","2016","","","","","","","","","","expansion","","","","","","","","","","","","","","",""
"Kingdom Death: Monster – Spidicules Expansion","135273","0","","0","1","0","0","0","0","0","0","0","1","","","","","","49039437","5.75134","8.76667","4","0","1309","thing","Kingdom Death: Monster – Spidicules Expansion","1","6","180","180","60","2016","","","","","","","","","","expansion","","","","","","","","","","","","","","",""
"Kingdom Death: Monster – Sunstalker Expansion","135523","0","","0","1","0","0","0","0","0","0","0","1","","","","","","49039436","5.79966","9.12414","4","0","1430","thing","Kingdom Death: Monster – Sunstalker Expansion","1","6","180","180","60","2016","1,2,3,4","3","","","","","","","","expansion","","","","","","","","","","","","","","",""
"Kingdom Death: Monster – Super Survivors Promo Expansion","219251","0","","0","0","0","0","0","0","0","1","0","1","","","","","","49039539","0","7","0","0","64","thing","Kingdom Death: Monster – Super Survivors Promo Expansion","1","6","180","180","60","2019","","","","","","","","","","expansion","","","","","","","","","","","","","","",""
"Kingdom Death: Monster – The Silver City Expansion","219181","0","","0","0","0","0","0","0","0","1","0","1","","","","","","49039517","0","8.16667","0","0","98","thing","Kingdom Death: Monster – The Silver City Expansion","1","6","180","180","60","2019","","","","","","","","","","expansion","","","","","","","","","","","","","","",""
"Kingdomino","204583","0","","0","1","0","0","0","0","0","0","0","2","","","","","","41066030","7.24196","7.39647","1.207","187","29774","thing","Kingdomino","2","4","20","20","15","2016","2,3,4","2,4","6+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Labyrinth","1219","0","","0","1","0","0","0","0","0","0","0","3","","","","","","42332660","6.22749","6.38399","1.3862","1472","14670","thing","Labyrinth","2","4","20","20","20","1986","2,3,4","4","6+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Lagoon: Land of Druids","152053","0","","0","1","0","0","0","0","0","0","0","3","","","","","","42468566","5.92721","6.40684","2.72","2488","3234","thing","Lagoon: Land of Druids","1","4","60","60","60","2014","1,2,3,4","2","12+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Lagoon: Land of Druids – Forest Sentinel / Ancient Sentinel","174773","0","","0","1","0","0","0","0","0","0","0","3","","","","","","42468570","0","6.76842","2","0","234","thing","Lagoon: Land of Druids – Forest Sentinel / Ancient Sentinel","1","4","60","60","0","2014","","","","","","","","","","expansion","","","","","","","","","","","","","","",""
"Lagoon: Land of Druids – Mytreia's Glory / Cosmic Vault","174836","0","","0","1","0","0","0","0","0","0","0","3","","","","","","42468571","0","7.06875","0","0","159","thing","Lagoon: Land of Druids – Mytreia's Glory / Cosmic Vault","1","4","60","0","60","2014","","","","","","","","","","expansion","","","","","","","","","","","","","","",""
"Last Night on Earth: The Zombie Game","29368","0","","0","0","0","0","0","0","0","0","1","3","","","","","","42332081","6.77455","6.98097","2.2931","586","16987","thing","Last Night on Earth: The Zombie Game","2","6","90","90","60","2007","2,3,4,5,6","5","12+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Legendary: A Marvel Deck Building Game","129437","0","","0","1","0","0","0","0","0","0","0","3","","","","","","42332620","7.35812","7.60621","2.4593","133","24919","thing","Legendary: A Marvel Deck Building Game","1","5","45","45","45","2012","1,2,3,4","3","10+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Legendary: A Marvel Deck Building Game – Captain America 75th Anniversary","186845","0","","0","1","0","0","0","0","0","0","0","1","","","","","","48949774","6.5526","7.97796","2.1","0","4169","thing","Legendary: A Marvel Deck Building Game – Captain America 75th Anniversary","1","5","60","60","30","2016","1,2,3,4","2,3","8+","Moderate in-game text - needs crib sheet or paste ups","","","","","","expansion","","","","","","","","","","","","","","",""
"Legendary: Dark City","137762","0","","0","1","0","0","0","0","0","0","0","1","","","","","","48949783","7.63879","8.31249","2.6486","0","12172","thing","Legendary: Dark City","1","5","60","60","60","2013","1,2,3,4,5","3,4","8+","Extensive use of text - massive conversion needed to be playable","","","","","","expansion","","","","","","","","","","","","","","",""
"Legends of Andor","127398","0","","0","0","0","0","0","1","0","0","1","4","","","","","","51091333","7.04168","7.26441","2.7616","322","18765","thing","Legends of Andor","2","4","90","90","60","2012","1,2,3,4","4","10+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Lost Legacy: Fourth Chronicle – The Werewolf & Undying Heart","191998","0","","0","1","0","0","0","0","0","0","0","3","","","","","","56631933","5.6856","7.1928","1","4415","667","thing","Lost Legacy: Fourth Chronicle – The Werewolf & Undying Heart","2","6","10","10","10","2016","3,4","4","","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Lost Legacy: Third Chronicle – Sacred Grail & Staff of Dragons","175222","0","","0","1","0","0","0","0","0","0","0","3","","","","","","56631931","5.81769","6.93374","1.5","3131","1184","thing","Lost Legacy: Third Chronicle – Sacred Grail & Staff of Dragons","2","6","10","0","10","2015","3,4","4","","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Love Letter","129622","0","","0","1","0","0","0","0","0","0","0","3","","","","","","42468415","7.17925","7.26273","1.198","223","76072","thing","Love Letter","2","4","20","20","20","2012","3,4","4","8+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Mage Knight Board Game","96848","0","","0","0","0","0","0","0","0","0","1","2","","","","","","42328733","7.89494","8.10562","4.2594","23","33367","thing","Mage Knight Board Game","1","4","240","240","60","2011","1,2,3","1,2","14+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Mascarade","139030","0","","0","1","0","0","0","0","0","0","0","3","","","","","","42468449","6.47915","6.66495","1.5246","945","11679","thing","Mascarade","2","13","30","30","30","2013","5,6,7,8,9,10,11,12","7,8","10+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Menara","244608","0","","0","1","0","0","0","0","0","0","0","3","","","","","","56632027","6.05899","7.43654","1.7692","1952","885","thing","Menara","1","4","60","60","10","2018","1,2,3,4","2,3","6+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Munchkin","1927","0","","0","1","0","0","0","0","0","0","0","3","","Need expansions","","","","42468454","5.75553","5.92531","1.7916","3647","59989","thing","Munchkin","3","6","120","120","60","2001","3,4,5,6","4","12+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Near and Far","195421","0","","0","0","0","0","0","0","0","0","1","3","","","","","","56677462","7.38724","7.95284","2.7634","118","10407","thing","Near and Far","2","4","120","120","90","2017","2,3,4","3","10+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Nemo's War (second edition)","187617","0","","0","1","0","0","0","0","0","0","0","3","","","","","","56631990","6.9345","8.10493","2.9733","412","4934","thing","Nemo's War (second edition)","1","4","120","120","60","2017","1,2","1","14+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Ninja Dice","136587","0","","0","1","0","0","0","0","0","0","0","3","","","","","","42468294","5.70354","6.0398","1.3243","4193","2055","thing","Ninja Dice","2","5","30","30","30","2013","2,3,4,5","3,4","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Ninja Dice: Location Cards","158247","0","","0","1","0","0","0","0","0","0","0","3","","","","","","42468297","5.6441","6.68564","1.6667","0","748","thing","Ninja Dice: Location Cards","2","5","30","30","30","2014","2,3,4,5","3,4,5","8+","Some necessary text - easily memorized or small crib sheet","","","","","","expansion","","","","","","","","","","","","","","",""
"Ninja Dice: Master Ninja","164494","0","","0","1","0","0","0","0","0","0","0","3","","","","","","42468301","0","7.5","1","0","115","thing","Ninja Dice: Master Ninja","2","5","30","30","30","2014","","","","","","","","","","expansion","","","","","","","","","","","","","","",""
"One Deck Dungeon","179275","0","","0","1","0","0","0","0","0","0","0","3","","","","","","42328770","6.82927","7.25881","2","522","10427","thing","One Deck Dungeon","1","2","45","45","30","2016","1,2","1","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"One Deck Dungeon: Forest of Shadows","224821","0","","0","1","0","0","0","0","0","0","0","3","","","","","","42328772","6.23921","7.40854","2.0667","1440","3629","thing","One Deck Dungeon: Forest of Shadows","1","2","45","45","30","2017","1,2","1","10+","","","","","","","standalone","","","","","","","","","","","","","","",""
"One Night Ultimate Werewolf","147949","0","","0","1","0","0","0","0","0","0","0","3","","","","","","42468463","7.06095","7.23344","1.4024","300","26416","thing","One Night Ultimate Werewolf","3","10","10","10","10","2014","4,5,6,7,8,9,10","6,7,8","10+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Order of the Stick Adventure Game: Sticky Shticks","120454","0","","0","1","0","0","0","0","0","0","0","3","","","","","","42468582","5.52064","6.31333","2","0","289","thing","Order of the Stick Adventure Game: Sticky Shticks","2","6","0","0","0","2012","","","","Extensive use of text - massive conversion needed to be playable","","","","","","expansion","","","","","","","","","","","","","","",""
"Order of the Stick Adventure Game: The Dungeon of Dorukan","24157","0","","0","1","0","0","0","0","0","0","0","3","","","","","","42468573","5.61169","5.7802","2.7581","5963","2307","thing","Order of the Stick Adventure Game: The Dungeon of Dorukan","2","6","360","360","180","2006","4,5,6","6","12+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Order of the Stick Adventure Game: The Linear Guild","32904","0","","0","1","0","0","0","0","0","0","0","3","","","","","","42468580","0","5.75","0","0","20","thing","Order of the Stick Adventure Game: The Linear Guild","2","6","240","240","240","0","","","","","","","","","","expansion","","","","","","","","","","","","","","",""
"Order of the Stick Adventure Game: The Shortening","39888","0","","0","1","0","0","0","0","0","0","0","3","","","","","","42468576","5.56209","6.3537","2.6667","0","542","thing","Order of the Stick Adventure Game: The Shortening","2","6","120","120","120","2011","","","","Extensive use of text - massive conversion needed to be playable","","","","","","expansion","","","","","","","","","","","","","","",""
"Pandemic","30549","0","","0","1","0","0","0","0","0","0","0","3","","","","","","42468708","7.5524","7.64564","2.4241","75","117213","thing","Pandemic","2","4","45","45","45","2008","1,2,3,4","4","10+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Pandemic: Contagion","157789","0","","0","1","0","0","0","0","0","0","0","3","","","","","","42468699","6.14167","6.4625","1.907","1690","5614","thing","Pandemic: Contagion","2","5","30","30","30","2014","3,4,5","4","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Pandemic: On the Brink","40849","0","","0","1","0","0","0","0","0","0","0","3","","","","","","42468716","7.8476","8.08798","2.653","0","37105","thing","Pandemic: On the Brink","2","5","45","45","45","2009","1,2,3,4,5","4","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","expansion","","","","","","","","","","","","","","",""
"Pandemic: State of Emergency","168703","0","","0","1","0","0","0","0","0","0","0","3","","","","","","42468724","6.42496","7.68092","2.6667","0","5241","thing","Pandemic: State of Emergency","2","4","45","45","45","2015","1,2,3,4","","10+","Some necessary text - easily memorized or small crib sheet","","","","","","expansion","","","","","","","","","","","","","","",""
"Pathfinder Adventure Card Game: Mummy's Mask – ""Reepazo"" Promo Card","231312","0","","0","1","0","0","0","0","0","0","0","1","","","","","","48949925","0","7.54","0","0","59","thing","Pathfinder Adventure Card Game: Mummy's Mask – ""Reepazo"" Promo Card","1","4","90","90","90","2017","","","","","","","","","","expansion","","","","","","","","","","","","","","",""
"Pathfinder Adventure Card Game: Mummy's Mask – Adventure Deck 2: Empty Graves","202141","0","","0","1","0","0","0","0","0","0","0","3","","","","","","56662619","5.61028","8.16291","0","0","509","thing","Pathfinder Adventure Card Game: Mummy's Mask – Adventure Deck 2: Empty Graves","1","6","90","0","90","2016","","","","","","","","","","expansion","","","","","","","","","","","","","","",""
"Pathfinder Adventure Card Game: Mummy's Mask – Adventure Deck 3: Shifting Sands","203340","0","","0","1","0","0","0","0","0","0","0","3","","","","","","56662626","5.58095","8.01163","0","0","460","thing","Pathfinder Adventure Card Game: Mummy's Mask – Adventure Deck 3: Shifting Sands","1","6","90","0","90","2016","","","","","","","","","","expansion","","","","","","","","","","","","","","",""
"Pathfinder Adventure Card Game: Mummy's Mask – Adventure Deck 4: Secrets of the Sphinx","203343","0","","0","1","0","0","0","0","0","0","0","3","","","","","","56662629","5.58452","8.3","0","0","439","thing","Pathfinder Adventure Card Game: Mummy's Mask – Adventure Deck 4: Secrets of the Sphinx","1","6","90","0","90","2017","","","","","","","","","","expansion","","","","","","","","","","","","","","",""
"Pathfinder Adventure Card Game: Mummy's Mask – Adventure Deck 5: The Slave Trenches of Hakotep","209110","0","","0","1","0","0","0","0","0","0","0","3","","","","","","56662635","5.58409","8.35641","0","0","426","thing","Pathfinder Adventure Card Game: Mummy's Mask – Adventure Deck 5: The Slave Trenches of Hakotep","1","6","90","90","90","2017","","","","","","","","","","expansion","","","","","","","","","","","","","","",""
"Pathfinder Adventure Card Game: Mummy's Mask – Adventure Deck 6: Pyramid of the Sky Pharaoh","209111","0","","0","1","0","0","0","0","0","0","0","3","","","","","","56662642","5.58357","8.45385","0","0","402","thing","Pathfinder Adventure Card Game: Mummy's Mask – Adventure Deck 6: Pyramid of the Sky Pharaoh","1","6","90","90","90","2017","","","","","","","","","","expansion","","","","","","","","","","","","","","",""
"Pathfinder Adventure Card Game: Mummy's Mask – Base Set","187687","0","","0","1","0","0","0","0","0","0","0","3","","","","","","56662608","6.02783","8.13713","3","2076","1095","thing","Pathfinder Adventure Card Game: Mummy's Mask – Base Set","1","4","120","120","120","2016","1,2,3,4","2","12+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Pathfinder Adventure Card Game: Mummy's Mask – Character Add-On Deck","202140","0","","0","1","0","0","0","0","0","0","0","3","","","","","","56662615","5.61312","8.05714","0","0","514","thing","Pathfinder Adventure Card Game: Mummy's Mask – Character Add-On Deck","1","6","90","0","90","2016","","","","","","","","","","expansion","","","","","","","","","","","","","","",""
